Title,Developer,Publisher,Release date North America,console,deck,guid,id,number_of_user_reviews,original_release_date,site_detail_url,game_rating,description
Banjo-Kazooie,Rare,Nintendo,29-Jun-98,n64,"Play as lovable goofball Banjo the bear and his bird pal Kazooie in the first of many adventures as they collect valuable ""Jiggies"" in order to face the vile witch, Gruntilda and save Banjo's sister Tooty.",3030-10920,10920,0,6/29/1998,https://www.giantbomb.com/banjo-kazooie/3030-10920/,ESRB: E," <div> Overview : Title Screen for Banjo-Kazooie on the N64Banjo-Kazooie is a platformer developed by Rare who was heavily influenced by Super Mario 64. In the game, players play as a bear named Banjo who wears a backpack containing his bird-friend - Kazooie. The game features large worlds full of collectibles, secrets, and enemies.Throughout his journey, Banjo and Kazooie must collect notes, new powers, and jiggys to advance to the next level. Also, the game features a very distinct soundtrack that features heavy use of a banjo. </div>  <div> Story : Banjo-Kazooie begins with a wicked witch named Gruntilda stirring a green liquid in her cauldron called Dingpot. She claims to be the most beautiful woman, until Dingpot explains how she is not, and that Tooty (Banjo's sister) is the prettiest girl ever. Gruntilda, who is always speaking in rhymes, explains how she will capture Tooty.She is successful and threatens to switch appearances with Tooty, when Banjo hears of what happened. From then on it is Banjo's duty to stop Gruntilda, with his bird-friend Kazooie, by going to different worlds, collecting tons of items, and eventually confronting Gruntilda herself. </div>  <div> Gameplay : Snow Areas.Banjo-Kazooie follows a structure similar to that of Super Mario 64. Players are tasked with finding various collectible objects such Jiggys (Jigsaw Pieces), Musical Notes, and Mumbo Tokens and then using those objects to traverse through the hub-world. Jigsaw pieces open doors to new worlds by collecting enough to complete the corresponding jigsaw puzzle.There are ten Jiggies in each world: nine must be found, and one is granted by finding all five Jinjos on each world. Musical Notes open magic note doors that allow Banjo and Kazooie to progress further into Gruntilda's lair. There are 100 notes in each world, and 900 total in the game. Mumbo Tokens grant the player magical transformations at Mumbo's hut when the player collects a sufficient amount. These transformations include the following: termite, crocodile, walrus, pumpkin and bee.On the way, players will meet many characters, but the one who will help players the most is Mumbo - A skull-man who is able to cast magic. He helps Banjo on his quest by opening secret doors and stopping trains. Banjo travels along with his bird companion, Kazooie; she allows him to fly, climb, and she can turn into an egg-firing machine gun.Together they are bound to take down the evil Gruntilda - An evil witch who wants to control the world and commit evil deeds. She resides in her lair, with her trusty troll like companion.If a player receives a game over, a cut scene is show of Gruntilda successfully switching appearances with Tooty and becoming a beautiful witch, then mocking Banjo as the screen fades out. </div>  <div> Characters :  </div>  <div> Levels : BanjoOne of the two protagonists of the game, Banjo is a quirky Honey Bear trying to rescue his younger sister, Tooty. He lives in a small blue house in Spiral Mountain with his sister Tooty and friend Kazooie, and is easily recognized by his sharktooth necklace, blue backpack and bright yellow shorts. </div>  <div> Speech : KazooieA red-crested Breegull, Kazooie is the sassy counterpart to Banjo's light and cheerful demeanor. She stays in Banjo's blue backpack and helps Banjo to perform a large variety of moves with the help of Bottles' training, including running up steep, slippery slopes, flying and shooting eggs at the bad guys. </div>  <div> Stop 'N' Swop : GruntildaBanjo-Kazooie's antagonist, Gruntilda is an ugly witch obsessed with her looks. She captured Banjo's sister Tooty and plans to use a machine to steal young Tooty's good looks. Gruntilda, or Grunty for short, always speaks in rhyme during the course of the game. </div>  <div> Other Changes Prior To Release : TootyBanjo's younger sister who is captured by Gruntilda. Tooty has not appeared in a game since Banjo-Kazooie, although Rare has made references to her in Banjo-Tooie and Banjo-Kazooie: Nuts & Bolts.Originally Tooty was going to be Banjo's girlfriend named ""Piccolo"". </div>  <div> Soundtrack : BottlesA nerdy looking mole constantly pestered by Kazooie, Bottles teaches Banjo and Kazooie all of the moves in the game. He is easily identified by his plaid suit and coke-bottle glasses, and upon reaching one of his molehills hidden within each of the various levels within the game, the player will be able to learn a new technique from the mole himself. </div>  <div> XBLA Version :  </div> "
Banjo-Tooie,Rare,Nintendo,20-Nov-00,n64,Bear and bird again combine their efforts to thwart Gruntilda's dastardly plans (as well as her two hag sisters and their minions) in this classic platformer for the Nintendo 64.,3030-2871,2871,0,11/19/2000,https://www.giantbomb.com/banjo-tooie/3030-2871/,ESRB: E," <div> Overview : Title ScreenBanjo-Tooie is a 3D platforming adventure game developed by Rare for the Nintendo 64, and later ported to Xbox Live Arcade. It is the sequel to 1998's Banjo-Kazooie. The game stars the famous bear and bird duo, Banjo and Kazooie, and is set two years after the events of Banjo-Kazooie. The game started development before the release of Banjo-Kazooie, and was released on November 19, 2000. </div>  <div> Story : King Jingaling and JinjosTwo years after the events of Banjo-Kazooie, Grunty was still stuck under the rock with Klungo still pushing it. One stormy night, while Banjo, Kazooie, Bottles, and Mumbo are playing cards in Banjo's House, a giant drill machine known as the Hag 1 drills out of a wall into Spiral Mountain. The rumbling of the machines caused Banjo and company to become worried. Unbeknownst to them, two witch sisters arrive and easily move the boulder that Gruntilda was trapped under in the last game. They send Mumbo out into the stormy night. He walks over to a nearby bush and sees Gruntilda She is no longer just an ugly witch, but a bony and uglier witch. After casting a bony eye on Spiral Mountain, she spies Mumbo and runs after him, magic blazing. He warns the others, who escape, but Bottles decides it's a trick, and gets caught in a blast. Banjo's house is destroyed, Bottles is dead, and the world is at risk. Grunty and her sisters then retreat to the Cauldron Keep in the Hag 1 drilling machine, scattering all of the jinjo families in the process.Banjo and Kazooie survey the wreckage, then decide it's time for another adventure. Along the way, they encounter many challenges, fearsome enemies, and a witch that is out for revenge. Nothing that a bear and a bird can't handle. </div>  <div> Gameplay : Banjo in Jolly Roger's LagoonBanjo-Tooie's gameplay is similar in concept to its predecessor, Banjo-Kazooie. The player must explore the hub world (Isle O' Hags) and enter nine large non-linear levels, each containing Jiggies which allow further access to the Isle. The core goal of the game is the same as the first, to collect as many jiggies as possible. There are a wide variety of puzzles, games, platforming and adventures that will net jiggies. Collecting them will afford access to new levels. All in all there are 90, with the player often needing to revisit levels with new moves in order to collect them. There are also other collectibles, such as musical notes and jinjos. The levels available run the gamut, from an ancient civilization to an underwear factory.Once again unlocking levels requires completing puzzles; however, this time the pictures are all based in one fixed point, Jiggywiggy's Temple. Also returning from the previous game is the ability to transform, allowing access to different areas, as well as the ability to learn new moves. Banjo and Kazooie start out with all the abilities they learned in the previous game. This is in contrast to the common ""lose moves"" scenario that some sequels take. They are able to jump, flip, swim, attack, and even fly (with the help of flying pads). They can also learn new moves from Bottles' brother Jamjars. However, this process has been altered from the previous installment. Whereas in Banjo-Kazooie, new moves had been free to learn whenever the player had located Bottles' Molehill, the new instructor Jamjars requires Musical Notes to learn new abilities. One of these new moves is the Split Up, which allows Banjo and Kazooie to, as the name suggests, go their separate ways and explore on their own. When doing so, the characters have different characteristics and new abilities. Kazooie is fast, can fly and hatch eggs but has one honeycomb health less than Banjo, whereas Banjo is slower, but has more health and can perform different abilities with his backpack. Another new staple is the addition of Mumbo Jumbo as a playable character. Mumbo can perform spells which can lead to a Jiggy or aid gameplay.The game is also groundbreaking in several areas, the biggest of these being level design and connection. Platformers before it typically had their levels linked only by a single hub world or overworld. In Banjo-Tooie however, most of the levels are interconnected in various ways. While there is still a hub world, players are able to cross between worlds themsevs, such as between Glitter Gulch Mine and Jolly Roger's Lagoon via water pipes, or between Terrydactyland and Witchyworld to grab some hamburgers. For certain jiggies cross travel is required. The biggest implementation of this is the train stations. There are train stations in most of the levels, which allow the player to hop on the train in one level, and choose which level to get off at (providing the player has found the station in that level first). </div>  <div> Multiplayer and Extras : There are a variety of things outside the single player adventure that are unlocked as it progresses. </div>  <div> Techniques : Multiplayer consists of all the various mini-games that are played throughout the game, such as the Mayahem Kickball Tournament. Games such as the Ordnance Shootout and Chomper's Belly put the player in First-Person, with Kazooie acting as a gun (and firing eggs) to either kill players or hit targets. Other games play as they would normally, with human players in for computers. </div>  <div> Items : The game records all of the mini-games, boss battles, and cutscenes that the player has gone through. They can then replay any of these standalone items at any time.Characters </div>  <div> Transformations : Banjo (""Yea-huh!"")Back for another adventure, Banjo is one of the main characters of the game. He is a brown bear with a penchant for helping people out. He wears his trademark yellow shorts, shark tooth necklace, and blue backpack. He was a bit oafish and slow to pick up on things in the first game, but nowadays he's shown flashes of a newfound wit... </div>  <div> Bosses : Kazooie (*facepalm*)The other central character of the series, Kazooie is a foul-mouthed breegull. Quick to judge, she is seen at the beginning robbing the poker players blind. She resides in Banjo's backpack, often coming out just to peck, drill, or demean. In this game though, she may have found a bit of compassion, as well as a way out of the backpack... </div>  <div> Stop 'n' Swop : Gruntilda the skeleton witch (*Evil laugh*)The series' main antagonist is at it again. After being freed from her rock, Grunty is now a very bony witch. She is heavyset, and has a hatred for the bear and bird. The quest will be to stop her destruction of the world. </div>  <div> Style and Cultural References : Mumbo the Shaman skull-guyReturning from the last adventure, Mumbo has been stripped of his transformation powers by an unknown force. Now though, he gets the chance to come out of the skull. He is a shaman, complete with a bony head, and skull staff (and house). Players can control him by bringing him a glowbo. He has a staff attack, as well as the ability to perform magic at Mumbo Pads, pads with his face on it. </div>  <div> Reception : WumbaMaking her debut in the series is Humba Wumba, a Native American shaman and rival to Mumbo Jumbo. She takes on his old role, transforming Banjo and Kazooie into various objects and animals. She needs to be given a Glowbo for her magic to work, but it is only needed once. Her transformations are valuable to solving the worlds many puzzles. </div>  <div> Xbox Live Arcade Version : Bottles the Mole (deceased)The teacher of moves from the first game, Bottles is back, albeit in another form. Killed in the beginning by Gruntilda's magic, he is only seen as a ghost in Spiral Mountain. He may have hope yet..... </div> "
Bass Masters Classic,Mass Media Games,THQ,16-Dec-99,n64,"Tournament fishing for the Game Boy Color, Genesis, and Super Nintendo. Gameplay takes place in top-down ""boat"" sections, as well as side perspective underwater view.",3030-33061,33061,0,,https://www.giantbomb.com/bass-masters-classic/3030-33061/,ESRB: K-A," <div> Overview : Bass Masters Classic is a fishing game developed by Natsume (Game Boy Color version), and Black Pearl Software (Sega Genesis and SNES versions). The game was published by THQ (Game Boy Color version), Black Pearl Software (Genesis Version), and Malibu Games (SNES version).The game was also published on the SNES in Japan by Altron Corporation.The game saw an enhanced remake the subsequent year by Black Pearl which was subtitled ""Pro Edition"". It was released for SNES and Genesis. </div>  <div> Gameplay : In Bass Masters Classic the player competes in multiple tournaments, consisting of three days each. The goal of the tournament is to catch a bigger bass than the rest of the competition. </div> "
Batman Beyond: Return of the Joker,Kemco,Ubi Soft,13-Dec-00,n64,"Take on the mantle of the Tomorrow Knight as he takes on a ghost of his mentor's past, the clown prince of crime, in this beat-em-up tie-in to the 2000 animated movie of the same name.",3030-1238,1238,0,11/20/2000,https://www.giantbomb.com/batman-beyond-return-of-the-joker/3030-1238/,ESRB: E," <div> Overview : Batman Beyond: Return of the Joker (known in Europe as Batman of the Future: Return of the Joker and not to be confused with Batman: Return of the Joker) is a 3D superhero beat-'em-up developed by Kemco and published by Ubisoft for the Sony PlayStation and Nintendo 64 on December 13, 2000. It also received a handheld version (as a belt-scrolling beat-'em-up) on the Game Boy Color on November 20, 2000.The video game tie-in to the animated movie of the same name (which is based on the Batman Beyond animated series), Return of the Joker puts players as the futuristic Batman (superhero alter-ego of high-school student Terry McGinnis), as he investigates Neo-Gotham City for the whereabouts of The Joker, a resurfaced villain from the days of the original Batman (superhero alter-ego of Terry's mentor, Bruce Wayne) who plans to use a satellite laser to destroy the city. </div>  <div> Gameplay : The game plays like a traditional beat-em-up, as players play through five stages as Batman. Players can move him around with the analog stick, crouch with the Crouch button (C-Right on the N64), run with the Run button (L button on the N64), and jump with the Jump button (R button on the N64). He can attack using the Punch button (B button on the N64) and the Kick button (A button on the N64), and can block attacks using the Block button (Z button on the N64). Some of his abilities can be used with the Special button (C-Left on the N64). </div> "
BattleTanx,The 3DO Company,The 3DO Company,29-Dec-98,n64,A fast-paced sci-fi tank combat game for the Nintendo 64 set in a post-apocalyptic United States.,3030-3687,3687,0,12/31/1998,https://www.giantbomb.com/battletanx/3030-3687/,ESRB: T," <div> Overview : BattleTanx is a sci-fi tank combat game developed and published by  3DO for the  Nintendo 64 exclusively in North America on December 31, 1998.The game is set in near-future 2001, after a biological virus (the X2 Virus) wipes out nearly all of the female population (with the surviving women now worshiped as ""Queen Lords"") and after the resulting  nuclear war. Players control Griffin Spade, a ""Battlelord"" who must travel west through the post-apocalyptic United States (from  New York City to  San Francisco) with his  M1 Abrams to build up a tank squadron, fight marauding gangs and militias, and  rescue his fiancée Madison.In addition to three different types of tanks at their disposal (including the nimble Moto-Tank and the heavyweight Goliath), players have access to a variety of special weapons and power-ups (including mines, cloaking devices, automated sentry turrets, energy shields, and nukes). The game also includes split-screen competitive multiplayer for up to four players (any of which can be A.I. bots), with a special faction-based system that determines each player's tank squadron.The game later received a handheld port for the Game Boy Color by Lucky Chicken Games on March 2000, changing it to a top-down perspective. The original version also received a direct sequel (BattleTanx: Global Assault) and two spin-offs (WDL: World Destruction League - Thunder Tanks and WarJetz). </div>  <div> Gameplay : M1A1 - Standard medium-grade tank with a basic tank cannon.Goliath - Heavyweight tanks with additional armor and a more powerful tank cannon. Can be rail-mounted for increased side-to-side movement and firing speed.Moto-Tank - Lightweight motorcycle tanks with more nimble mobility, smaller frame, and twin-mounted machine guns. </div>  <div> Multiplayer : Some weapons have a hidden ""super shot"", which deploys a more powerful version (that uses up all of its reserves) if activated when the player has an overabundance of it in reserves.CloakingGrenadesGuided MissilesGun BuddiesLasersMinesNukeRadarShieldsSwarmers </div> "
BattleTanx: Global Assault,The 3DO Company,The 3DO Company,31-Aug-99,n64,"3DO's fast-paced tank combat game returns, bringing a variety of new tanks throughout both the United States and Europe.",3030-17922,17922,0,8/31/1999,https://www.giantbomb.com/battletanx-global-assault/3030-17922/,ESRB: T," <div> Overview : BattleTanx: Global Assault is a sci-fi tank combat game developed and published by  3DO for the  Nintendo 64 in North America on August 31, 1999. It was later released in Europe on April 2000 and was released for the Sony PlayStation on February 29, 2000 (June 30, 2000 in Europe).The sequel to the 1999 game BattleTanx, Global Assault adds a wide assortment of new playable tanks (bringing the total up to 11), a new assortment of levels spanning both United States and Europe, new multiplayer game modes, and a more detailed story with cutscenes.The game is set in post-apocalyptic near-future 2006, five years after Griffin Spade rescued his fiancée Madison from the armies of the ""Dark Alliance"" and ruled the city of San Francisco as Battlelord. When a mysterious Queen Lord threatens Griffin's family and mind-controls his own army using the mysterious power of the ""Edge"", Griffin and Madison must travel throughout both the United States and Europe and amass a new army to defeat her. </div>  <div> Gameplay : M1A1 - Standard medium-grade tank with a basic tank cannon.Goliath - Heavyweight tanks with additional armor and a more powerful tank cannon. Can be rail-mounted for increased side-to-side movement and firing speed.Moto-Tank - Lightweight motorcycle tanks with more nimble mobility, smaller frame, and twin-mounted machine guns.Inferno -HoverTank -Hornet -Marksman -Rhino -Hydra -Rattler -FLP-E Tank - </div>  <div> Multiplayer : Some weapons have a hidden ""super shot"", which deploys a more powerful version (that uses up all of its reserves) if activated when the player has an overabundance of it in reserves.Bouncing BettyCloakingFlamethrowerGrenadesGuided MissilesGun BuddiesLasersMinesNukePlasma BoltsRadarShieldsSwarmersTeleporter </div> "
Battlezone: Rise of the Black Dogs,Climax Development,Crave Entertainment,30-Mar-00,n64,Battlezone: Rise of the Black Dogs is a port of the PC game Battlezone with extra missions.,3030-3720,3720,0,3/30/2000,https://www.giantbomb.com/battlezone-rise-of-the-black-dogs/3030-3720/,ESRB: E," <div> Overview : Battlezone: Rise of the Black Dogs is an action game developed by Climax Studios and published by Crave Entertainment for the Nintendo 64 platform.Battlezone: Rise of the Black Dogs is a port of the PC title simply called Battlezone. Rise of the Black Dogs contains more missions beyond that of the PC game, continuing the story. </div> "
Beetle Adventure Racing!,Paradigm EntertainmentEA Canada,Electronic ArtsNA/PALSquare EAJP,28-Feb-99,n64,Beetle Adventure Racing! focuses on crazy racing through action-packed tracks in Volkswagen New Beetles.,3030-10791,10791,0,3/24/1999,https://www.giantbomb.com/beetle-adventure-racing/3030-10791/,OFLC: G," <div> Gameplay : Beetle Adventure Racing! is composed strictly of Volkswagen New Beetle vehicles, which were released the year before the game's release.The game uses six lengthy tracks in its singleplayer championships and has an impressive draw distance compared to other Nintendo 64 titles. Each track is respectively insane, with ghosts, dinosaurs, castles and alien spaceships. One level even uses WHAM!'s ""Last Christmas"" to set the tone.Each course features a variety of boxes strewn on or near the track. Boxes provide different rewards to the player; for instance, a nitro boost that increases speed. There are also special ""Flower Boxes"" that unlock cheats to modify gameplay. During singleplayer ""Championship"" races there are ""Points Boxes"" placed on the track worth varying amounts. 100 points are available on a given course, and because many boxes are placed on hidden shortcuts, a player who wishes to get the maximum number of points during a race must vary the path they take through the level each lap. Earning a full 100 points on a level unlocks new multiplayer arenas.The game is often compared to San Francisco Rush, because of its fun-oriented gameplay.Beetle Adventure Racing uses a modified version of the then-current Need for Speed engine, which manifests itself most visibly in terms of the four-point suspension and the zooming tachometer. The tracks differ slightly, however, and do not start and finish at the same point. Instead, each course has a brief entry road, the player races the allotted three laps, and the last lap switches guardrails in order to funnel the player into an exit track with a (usually dead-end) finish-line. Oddly enough, few games have employed a similar mechanic since then. </div>  <div> Multiplayer : The game features a multiplayer portion for 2 to 4 players in split-screen. Two-player races can be unlocked by completing the single-player game. There is also a Beetle Battle mode, where players collect ladybugs, destroy each other and race to the finish. </div>  <div> Race Tracks : Coventry CoveMount MayhemInferno IsleSunset SandsMetro MadnessWicked Woods </div>  <div> Unlockables : Beetle Adventure Racing! contains multiple unlockable cars, each with different attributes. The final car to be unlocked is a New Beetle police car. While racing with the police car, other nearby cars can be slowed to a halt by using the car's police siren.Beyond new cars, there are many different cheats that can be unlocked by smashing the points boxes on the courses. These cheats do not necessarily make the game easier to play, and in many cases simply modify the game in interesting or amusing ways. For example, one of the early cheats earned is a ""Fisheye Lens"" camera that distorts the player's field of view. </div>  <div> Regional Variation: HSV Adventure Racing! (Australia) : In Australia, ""HSV Adventure Racing"" was released with Holden Special Vehicles instead of Volkswagen New Beetles, as well as region-specific voice work. Besides that, the two versions are identical. </div> "
Mountain,Imagineer,ImagineerJPSouthPeak Interactive/XicatNA,10-Oct-00,n64,A 'mountain simulator' from David O'Reilly.,3030-46636,46636,0,7/1/2014,https://www.giantbomb.com/mountain/3030-46636/,,
Bio F.R.E.A.K.S,Saffire,Midway Home EntertainmentNAGT InteractivePAL,31-May-98,n64,"Welcome to Neo-Amerika, citizen!",3030-19241,19241,0,4/30/1998,https://www.giantbomb.com/bio-f-r-e-a-k-s/3030-19241/,ESRB: M," <div> Overview : Bio F.R.E.A.K.S. is a 3D sci-fi weapon-based fighting game developed by Saffire and published by Midway for the PlayStation (on April 30, 1998) and Nintendo 64 (on May 31, 1998).The game is set in a dystopian near-future United States (now called Neo-Amerika) where the states are now private territories owned by giant corporations. To quell the violence, a secret commission was formed and each territorial dispute is now settled by gladiatorial matches from genetically-enhanced humans.Along with its grimdark ""future sport"" setting, the game is known for its dedicated Fire button (which allows players to fire their character's weapons for long-range combat or activate a special regenerating shield), dedicated Hover button (which allows the fighters to hover in the air for a short period of time), and a variety of open arenas (sometimes with upper platforms and dangerous obstacles). It's also known for its ""mutilations"", special moves that instantly dismember, decapitate or bisect opponents. Like Time Killers and BloodStorm, fighters can keep fighting while armless (at an obvious disadvantage).The game was originally planned to be released in arcades (utilizing joysticks with a top-fire button), and some prototype boards from public tests (along with official cabinet artwork) have been found (one of which is publically playable). </div>  <div> Characters : BullzeyeDeltaMinatekPsyclownPurgeSabotageSsapoZipperHeadClonus (boss)Mutilator (final boss) </div> "
Blast Corps,Rare,Nintendo,24-Mar-97,n64,"An environmental demolition game for the Nintendo 64. Lighthearted and varied, it challenges players to strategically lay waste to the landscape while under pressure.",3030-13245,13245,0,2/28/1997,https://www.giantbomb.com/blast-corps/3030-13245/,ESRB: K-A," <div> Overview : Blast Corps is a 3D top-down vehicular action-puzzle game developed by Rareware and published by Nintendo for the Nintendo 64 in Japan (on March 21, 1997), North America (on March 24, 1997), and Europe (on December 22, 1997).A game focused on wide-scale environmental destruction, Blast Corps puts players in control of a pilot of the titular ""Blast Corps"": a group of heavy-duty demolition experts with unique talents and a variety of cutting-edge technology (including the use of heavy-duty vehicles and humanoid mechs). The game's story involves a global crisis, as the group must escort a runaway missile carrier (carrying leaking nuclear missiles) to a ""ground zero"" for a controlled detonation.In each of the main levels, players must clear a path for the carrier by using special demolition vehicles to completely level buildings in the way. Along the way, they encounter puzzles requiring them to use special techniques (such as making wide swerves with the ""Backlash"" or pushing TNT crates with the ""Ramdozer"") or to switch between vehicles (as the player can dismount their vehicle at any time). They game also includes bonus objectives and side missions (including general destruction and racing).The game was later ported to the Xbox One as part of the 2015 Rare Replay compilation. </div>  <div> Gameplay : The game is broken up into several types of levels scattered across a map over the world. On each level the player must use demolition and go through puzzles to achieve the goal. The player usually begins in a demolition vehicle, but can exit the vehicle as the Pilot. </div>  <div> Vehicles : The Carrier Levels are the main portion of the game. The player is in control of a member of the Blast Corps crew, whose task is to control a wide variety of vehicles to destroy any building or debris that may obstruct the nuclear carrier's path. Players are limited on time, as the carrier can not be slowed down or stopped. In addition to destroying buildings with vehicles, players must sometimes solve puzzles, such as pushing around TNT crates to destroy more robust structures, use large blocks to fill holes, and move trains, to name a few.The player can leave vehicles and move around as The Pilot, who can enter other vehicles as needed. Different vehicles have their uses and weaknesses. Once the carrier’s path is clear, the player is free to enter the Blast Corps semi to end the level, or continue exploring. Successfully completing a carrier level unlocks the levels around it. Players can choose whether to continue with the next carrier level or complete a number of side missions.Certain buildings in the level contain survivors, which once freed will be picked up automatically by the Blast Corps chopper. Scattered across the levels are small objects that light up as the player passes over them called Radiation Dispersal Units (RDUs). There are also special (and more rare) collectables such as communication devices that unlock additional levels, and scientists that are required for later missions.Players receive medals on a level to show progress. Clearing the path for the carrier earns a gold medal, and then a second medal is given depending on the number of survivors, buildings destroyed, and RDUs collected by the player. After the initial clear, the player can enter the level without a time limit and search for all of the collectables for 100% completion.Points are received for every medal, and then as points accumulate, the player receives promotions. There are 31 ranks, and a promotion is given every 12 points. Bronze medals are worth 1 point, silvers are 2, gold are 3, and platinum medals are worth 4. </div> "
Blues Brothers 2000,Player 1,Titus Software,17-Nov-00,n64,"Blues Brothers 2000 is based on the movie of the same name. Now with evil trees, evil wardens, and evil graveyards!",3030-13658,13658,0,10/3/2000,https://www.giantbomb.com/blues-brothers-2000/3030-13658/,ESRB: E," <div> Overview : Blues Brothers 2000 is based on the movie of the same name, which was released in 1998. Brought into the world by the same publishers as such dubious games as Superman 64, the game was released roughly two years after the movie it was based on. The game itself is an action platformer where everything is out to kill you. </div>  <div> Story : The game follows the movie's plot *very*, *VERY* roughly insofar as Elwood Blues attempts to get the band back together for a battle of the bands. The game itself tells the vast breadth of its story in still images between levels, with the occasional exchange of dialogue.It's finally time for Elwood to be released from jail, but the 'evil warden' refuses to let him leave as a helpful prison guard informs him. After rescuing Buster from a demented lunch lady, Elwood confronted the evil warden and managed to escape Joilet State Prison. Before he escaped , he learned the warden has handed over the rest of the band- 'Mighty' Mac and Cab- to the mob.Elwood managed to make his way to Chicago to find Mac and Cab, only to end up running from a sewer alligator and confronting Willy. Elwood managed to rescue Mac, but Cab was still missing.After arriving in the Spooky Graveyard and dealing with evil trees, the band was finally reunited with the rescue of Cab. The band then went to Louisiana (The Swamp) to participate in a battle of the bands, and ultimately prevailed. </div>  <div> Gameplay : Blues Brothers picks up several cues from more influential platformers of the time. Elwood's slam mirrors Mario's butt stomp, and the main collectibles- notes- are back from Banjo-Kazooie. Other cues include collecting a hundred of an item for an extra life.The camera system is also referential to Super Mario 64, though inferior in implementation- the camera can get caught on walls quite easily, forcing the player to move blindly.There is a minigame based on cued-button presses, but the presses are not timed with the music and very difficult to get correctly. </div>  <div> Reception : Blues Brothers 2000 received mixed to negative reviews, and did not prove to be very popular- being released two years after its movie. Among the things most criticized in the game, the imprecise controls and the lackluster camera system were frequently mentioned. IGN claimed that half of the time they spent with the game was spent trying to get the camera working.Gamespot also said the game was buggy, complaining that they would get trapped in infinite damage loops. </div> "
