Title,Developer,Publisher,Release date North America,console,deck,guid,id,number_of_user_reviews,original_release_date,site_detail_url,description,game_rating
Terminator 2: Judgment Day,Bits Studios,LJN,January 1992,gb,"The first of two home system games based on the 1991 movie of the same name. Unlike the Arcade on-rails shooter and its ports, this LJN/Ocean home version is a side-scrolling action game.",3030-47366,47366,0,,https://www.giantbomb.com/terminator-2-judgment-day/3030-47366/," <div> Overview : Terminator 2: Judgment Day is a side-scrolling action shooter game for various home consoles and systems, published by LJN and Ocean in various regions. The game loosely follows the events of the movie of the same name, with the player assuming the role of the reprogrammed T-800 unit (played by Arnold Schwarzenegger in the movie) as he protects both John and Sarah Connor from the shape-shifting mimetic poly-alloy android the T-1000.This version should not be confused with the on-rails Arcade game of the same name, or its many home ports which were all named T2: The Arcade Game. Though both versions share some developers/publishers and are based on the same source material, they play very differently. </div> ",
Tesserae,Eurocom,GameTek,August 1993,gb,,3030-3648,3648,0,1993-08-01,https://www.giantbomb.com/tesserae/3030-3648/,,
Tetris,Nintendo,Nintendo,"July 31, 1989",gb,A version of Tetris on iOS by N3TWORK Inc.  ,3030-76928,76928,0,,https://www.giantbomb.com/tetris/3030-76928/,,
Foto Flash,TOSE,Nintendo,December 1993,gb,"A light roleplaying game (RPG), where the protagonist is tasked with saving their magazine by taking pictures of various girls.",3030-66164,66164,0,2018-02-01,https://www.giantbomb.com/foto-flash/3030-66164/," <div> Description : In Foto Flash, the player protagonist is tasked to go out and get pictures of girls, to save the pin-up magazine they are employed at. These models are spread across the central beach town in the game. Each girl requires a series of objectives, such as various fetch quests, before they agree to a softcore picture. That picture can then be delivered to the protagonist's boss. The beach town has light puzzle elements scattered in its level design, such as a hedge maze.There is some explicit nudity in Foto Flash, which can be censored optionally with little heart icons. Illustration art in the game was drawn by French comic artist, Raphaelle Marx (@Rafchu on Twitter).While the game resembles the popular RPG Maker development tools, and is tagged in Steam as such, Foto Flash is actually made with Gamemaker Studio 1.4. There are a total of 16 Steam achievements, with 2 of them hidden. </div>  <div> Pin-up Girls : There are ten women to get pictures from in total in Foto Flash. Every girl has a differing amount of steps to complete, before they pose for a picture. Here is the list of the girls:ClefClef: Red-eyed redhead with two buns and an Asian flairCymbelle: Teal-eyed girl with ponytails, tied with a purple ribbonXyla: Smartly dressed brunette with a short bob and glassesFlam: Sporty girl with a ginger ponytail and an orange capUkelela: Girl with a blonde afro and huge yellow glassesMidi: Cat girl with long violet hairViolina: Cherub girl with long pink hair and heart eyesSynthia: Starry-eyed girl with short blue hair and a star hairpinKeytara: Fedora-wearing girl with purple hair and several earringsTrompette: Long-haired ginger with a goggle headband </div>  <div> Time Trial : Aside from progression and collection achievements, there is one achievement tied to completing all photos under a certain amount of time. The timer can be prolonged by picking up clocks in the game world. </div> ",
Tetris Attack,Intelligent Systems,Nintendo,August 1996,gb,"One of the progenitors of the ""swap and match"" tile-based action-puzzle games, featuring either a Yoshi theme (for its international ""Tetris Attack"" release) or a cutesy fairy theme (for its Japanese ""Panel de Pon"" release).",3030-13130,13130,0,1995-10-27,https://www.giantbomb.com/tetris-attack/3030-13130/," <div> Overview : The original Japanese version of the game, known as ""Panel de Pon"", features an original cutesy world inhabited by fairies.Tetris Attack (known in Japan as Panel de Pon) is a 2D tile-matching puzzle game developed by Intelligent Systems (in conjunction with Nintendo's R&D1 team) and published by Nintendo for the Super Nintendo Entertainment System in Japan (on October 27, 1995), North America (on August 1996) and Europe (on November 28, 1996).Although its international name shares the same name as the Tetris series, this game bares no resemblance to other Tetris games and instead uses a new original gameplay style of manipulating an evolving playfield using a horizontal two-tile cursor.Unlike most tile-matching games of the era (where players must manipulate the placement of new groups of tiles), Tetris Attack has players swapping tiles already on the playfield (allowing them to form their own chains of tile matches, similar to the Columns and Puyo Puyo series).Both Japanese and international versions of the game differ in theme, with the international version using characters from Super Mario World 2: Yoshi's Island (in similar fashion to Kirby's Avalanche) and a new original soundtrack. The Japanese version takes place in the fantasy world of Popples, where the fairy protagonist Lip must defeat her fairy friends to stop them from fighting (due to a spell by the devil king Sanatos).The game received a handheld port for the Game Boy, with all versions using the Yoshi theme. While it was released at the same time as the console version in North America and Europe, it was released on October 26, 1996 in Japan (as Yoshi no Panepon). The original game also received two limited releases on the Japan-exclusive Satellaview service: BS Yoshi no Panepon (which was released in November 1996 and uses the Yoshi theme) and Panel de Pon Event '98 (which was released in December 1997 and uses the original theme).The game later received multiple sequels under the ""Puzzle League"" name, none of which use the Yoshi theme. A sequel to the original Super Famicom release, Panel de Pon 64, was nearly finished before being cancelled and reworked into Pokémon Puzzle League; this canceled version was ultimately finished and released as part of the Japan-exclusive GameCube compilation Nintendo Puzzle Collection.The Panel de Pon version of the game was later digitally re-released in Japan as a Virtual Console title for the Wii (on November 27, 2007), Wii U (on May 25, 2013), and Nintendo 3DS (on August 9, 2016). It was later included in the Super Nintendo Entertainment System - Nintendo Switch Online collection worldwide for the Nintendo Switch on May 20, 2020, making this version's first debut outside of Japan. </div>  <div> Gameplay : The core gameplay consists of a well partially filled with either 5 or 6 distinct types of tiles, depending on the difficulty level. Adjacent tiles may be swapped horizontally with the cursor, and matching three or more tiles vertically or horizontally will result in the tiles clearing after a short delay animation, during which they become immovable. Additional points may be earned with either ""combos,"" which involve clearing more than 3 tiles simultaneously, or ""chains,"" which require that the tiles above a clearing set fall into another clear. During play, the stack of tiles will slowly rise to the top of the screen, though clearing tiles will pause this advance. After a grace period after the stack reaches the top of the well, the game will end. </div>  <div> Game Modes : There are 5 major game modes in Tetris Attack. In most modes, a difficulty level may be selected, and in some modes an initial speed may be selected; this may be confusing to new players, but while the difficulty level affects the rate at which death occurs, the number of tile types in play, and the rate at which tiles fall upon finding themselves in mid-air, the initial speed merely controls the speed at which the stack rises. </div>  <div> Characters & Stages : This mode allows the player to select a difficulty level and speed, and allows nearly limitless play. The name of the mode is misleading, however, as gameplay will necessarily end: either the player will die, or reach 99,999 points, upon which the game will end. Should the player reach this maximum point score, credits will be rolled. </div>  <div> Scoring : This mode provides a 2 minute length of time in which to earn as many points as possible. The difficulty and speed may be set prior to the game. This mode may be played with either 1 or 2 players. </div>  <div> Advanced Gameplay Mechanics : The Stage Clear mode requires that players clear the stack down to a particular ""clear line"" to pass each stage, of which there are several per character in the game. In addition, there are certain ""boss battles,"" in which the player must earn points as quickly as possible to reduce the boss's HP level to zero. </div>  <div> Story and Multiple Endings : This mode involves a collection of designed puzzles, of which there are ten per character in the game, as well as many ""special"" levels, totaling 120 levels. Each involves a set of tiles that must be cleared completely within the predetermined number of tile swaps. </div> ",ESRB: K-A
Super Tetris 2: Bombliss,TOSE,Bullet-Proof Software JPNintendo NA/EU,January 1996,gb,"Aside from including a traditional Tetris mode, Super Tetris 2 + Bombliss included Bombliss mode that featured bombs used to destroy surrounding pieces after a line was completed. It also included a Tetris ""C Mode"" in which the ground level blocks automatically rise after a set number pieces are destroyed.",3030-30710,30710,0,1992-12-18,https://www.giantbomb.com/super-tetris-2-bombliss/3030-30710/," <div> Overview : Super Tetris 2: Bombliss (or Super Tetris 2 + Bombliss) is an enhanced Super Famicom port of the original Famicom Tetris 2: Bombliss. The game features five modes spread across two game types: traditional Type A and Type B Tetris and a new Type C mode which raises the block level from the ground upwards as soon as a certain number of pieces have been eliminated.In addition, there are two modes of Bombliss, which is a variant of Tetris that allows the player to create explosions whenever a line is removed that contains at least one bomb segment: Contest and Puzzle. Contest is simply the equivalent of Tetris Type A, while Puzzle creates specific scenarios in which the player has to remove all the lines with a certain number of specific pieces, similar to the Puzzle mode of Tetris 2.The original Super Tetris 2: Bombliss was released around the end of 1992. A slightly updated version of the game, given the subtitle Gentei Han (or ""Limited Edition""), was released two years later. Neither version was released outside of Japan. </div> ",
Tetris Plus,Natsume,Jaleco JPNintendo NA/EU,"August 25, 1997",gb,"Another game in the Tetris series. Contains two main modes, Classic and Puzzle.",3030-17808,17808,0,1996-10-18,https://www.giantbomb.com/tetris-plus/3030-17808/," <div> Gameplay : Tetris Plus is much like the original Tetris, except with two different modes, Classic and Puzzle Mode. Classic Mode is a port of the original Tetris, with different music and sound-effects. The Game Boy cartridge also has the ability to remember scores because is has a SRAM powered cartridge. The game also has a level editor/maker using a  tUME like editor. </div> ",ESRB: K-A
Tiny Toon Adventures 2: Montana's Movie Madness,Konami,Konami,November 1993,gb,"The second in the Tiny Toon Adventure games released on the original Game Boy. You play Buster Bunny, trying to stop Montana ruining plots in 4 different films.",3030-7456,7456,0,1993-11-30,https://www.giantbomb.com/tiny-toon-adventures-2-montanas-movie-madness/3030-7456/,,CERO: All Ages
Tiny Toon Adventures: Babs' Big Break,Konami,Konami,February 1992,gb,"Babs' Big Break follows Buster, Plucky, and Hampton on their search for Babs as she tries to make it big as a star in this 2d platformer.",3030-5782,5782,0,1992-02-01,https://www.giantbomb.com/tiny-toon-adventures-babs-big-break/3030-5782/," <div> Overview : Tiny Toon Adventures: Babs' Big Break is a platformer for the Nintendo Game Boy. Using one of three available characters, the player must traverse through four stages, culminating in a fight against Montana Max. Along the way, players can collect gems that can be used to play one of two mini-games, Montana Mash and Race, which can earn you extra lives. </div>  <div> Gameplay : The gameplay in Babs' Big Break is very similar the Mario titles: items fall from boxes when they are hit by players, enemies die when jumped on, hollow tree stumps send the character to the underground, and endless pits cause the player to die. Babs' Big Break slightly expands on this formula, however, including dynamic environments, such as traveling train cars that lose ambient light when passing under a bridge. Switches and buttons are also used to open doors and gates, specifically in the haunted woods level. The haunted woods level also features the classical piece of music In the Hall of the Mountain King. </div>  <div> Characters : Despite the title of the game, Babs is not a playable character in Babs' Big Break. Instead, the player can chose to control either Buster Bunny, Plucky Duck, or Hamton Pig at will. Each of the characters has their own unique projectile weapon that they can use to knock over enemies:Buster - A carrot. It flies like an underhand softball toss, and can reach high places.Plucky - A pineapple. It bounces off the floor, walls, and ceiling.Hamton - A watermelon. It's tossed like a bowling ball, and rolls along the ground.Occasionally, obstacles will call for the aide of additional characters. Dizzy Devil is able to burrow under a mountain to progress to the next stage, while Furrball can sneak under city pipes to progress the player. Dizzy is also called upon during a cafeteria boss level, where the player needs to make Dizzy eat all of the chicken and goodies while avoiding spikes and other traps. Shirley the Loon also provides way to traverse a large pitfall. Her psychic abilities allow the player to cross on a floating carpet.Montana Max is naturally the game's enemy, using his disposable wealth to threaten the player in the final levels. Once in his mansion, Montana drives a large steamroller from side to side of the screen, while the player is forced to keep up with the auto scrolling level. </div> ",
Tiny Toon Adventures: Wacky Stackers,Konami,Konami,December 1994,gb,,3030-3587,3587,0,2001-12-30,https://www.giantbomb.com/tiny-toon-adventures-wacky-stackers/3030-3587/,,
Titus the Fox: To Marrakech and Back,Aqua Pacific,Titus Software,June 1993,gb,Titus the Fox: To Marrakech and Back is an action/platforming game from Titus Interactive.,3030-8541,8541,0,,https://www.giantbomb.com/titus-the-fox-to-marrakech-and-back/3030-8541/," <div> Overview : Titus the Fox: To Marrakech and Back is an action/platforming game developed and published by Titus Interactive for multiple platforms.The original release of the game, which was released in 1991, was actually titled Lagaf': Les Aventures de Moktar - Vol 1: La Zoubida. This original version of the game featured a French comedian named Vincent Lagaf'. When the game was set to release in other regions the mascot and name were changed with Titus the Fox: To Marrakech and Back releasing in 1992. The handheld ports altered this title further, going by just Titus the Fox. </div> ",ESRB: E
Tom Clancy's Rainbow Six Extraction,Beam Software,Hi Tech Expressions NA/EUAltron JP,October 1992,gb,"A tactical co-op shooter set during an alien parasite outbreak, several years after the events of Rainbow Six Siege.",3030-73788,73788,0,2022-01-20,https://www.giantbomb.com/tom-clancys-rainbow-six-extraction/3030-73788/,,
Tom and Jerry: Frantic Antics,Beam Software,Hi Tech Expressions NA/EUAltron JP,October 1993,gb,"Everyone's favorite cat-and-mouse team is back, and this time they're uniting to save their mutual friend, Robyn.",3030-21353,21353,0,1993-10-02,https://www.giantbomb.com/tom-and-jerry-frantic-antics/3030-21353/,,
Top Gun: Guts & Glory,Distinctive Software,Konami,January 1993,gb,"Top Gun: Guts and Glory is an aerial combat game based on the popular movie ""Top Gun.""",3030-7182,7182,0,,https://www.giantbomb.com/top-gun-guts-glory/3030-7182/," <div> Overview : Top Gun: Guts and Glory is the third entry in the Top Gun franchise developed by Distinctive Software and published by Konami.  </div>  <div> Gameplay : Guts & Glory is very simplified compared original two Top Gun games. There are only two selections for missiles, Heat-Seeking (20) and Radar-Guided (30). The player gets to choose your plane.Controls are similar to the prior games, the A button shoots your standard machine gun while the B button launches a missile; the Start button cycles the throttle through three settings (low, medium, and high). Due to the Game Boy's limitations, only two enemy planes are in combat at any given time.  </div>  <div> Planes Available:  :  F-14 TomcatF177A StealthMIG 29 FulcrumF16 Falcon </div> ",ESRB: K-A
Top Rank Tennis,Pax Softnica,Nintendo,1993,gb,"Top Rank Tennis, aka Top Ranking Tennis in Europe, is a tennis game for the original Gameboy.",3030-37744,37744,0,,https://www.giantbomb.com/top-rank-tennis/3030-37744/, <div> Overview : Top Rank Tennis is a tennis game developed by Pax Softonica and published by Nintendo for the Game Boy platform. </div> ,ESRB: K-A
Torpedo Range,SETA Corporation,SETA Corporation JPRomstar NA,November 1996,gb,A sidescrolling shooter for the Game Boy. The player is given control of a submarine and can travel across the globe blowing things up.,3030-38652,38652,0,,https://www.giantbomb.com/torpedo-range/3030-38652/," <div> Overview : Torpedo Range is a shooter developed by SETA Corporation and published by SETA Corporation (Japanese release) and Romstar (US release) for the Game Boy platform. </div>  <div> Gameplay : In Torpedo Range the player is tasked with freeing six countries ports that have been taken over by terrorists. To free the ports in each country the player must first explore the waters around the port, taking out enemy ships and earning shield upgrades and more torpedoes. There are four different types of ship encounters and the main port takeover encounter to complete in each stage. </div> ",
Total Carnage,,Malibu Games,February 1994,gb,"A bloody arcade shooter developed by Midway Games, which follows the exploits of two soldiers out to kill General Akhboob.",3030-11061,11061,0,1992-03-10,https://www.giantbomb.com/total-carnage/3030-11061/," <div> Overview : Reporters uncover Ackboob's sinister planTotal Carnage is an Arcade top-down dual-joystick shooter and is often seen as a spiritual successor to Midway's earlier Smash TV. It was developed by Mark Turmell who was also the lead designer for Smash TV. Other similarities between the two titles lies in the sound: Jon Hey composed the music and Ed Boon supplied some voice work for Total Carnage as they both did for Smash TV.Total Carnage was released across many home consoles along with its original arcade release. </div>  <div> Story : Ackhboob's mutant factoryThe year is 1999 and a new world war is brewing. The war is against a country ruled by the evil General Ackboob, and he has closed his country off from the rest of the world. Reporters discover that he is hiding a Baby Milk Factory, but as they dig deeper they find that this is not the truth. The factory is actually manufacturing an army of mutants that could help Ackboob take over the world. The United States sends in only two soldiers, named Captain Carnage and Major Mayhem, to stop Ackboob's evil plan. They are tasked in destroying hordes of mutant troops, rescuing hostages and defeating Genral Ackboob. </div>  <div> Gameplay : The player being barraged with a volley of severed tongues.  Total Carnage is a bloody shooter that plays from a overhead perspective. One to two players can enter a game, and the goal is to shoot all enemies on screen. Each character can face all directions on the screen, and their only ability is to shoot. Different weapons can be collected that will give the players extra power. Each level will have them shooting through small enemies, and they will eventually meet a boss. Each boss is a large mutant monster that has a specific weak point to defeat them. There is the occasional mini game which will have the player pressing a button rapidly. One of the mini games has them attempting the execute General Ackhboob in an electric chair. </div> ",ESRB: T
Toxic Crusaders,Realtime Associates,Bandai,September 1992,gb,A side-scrolling brawler and platformer based on the animated series of the same name (itself based on the Toxic Avenger movie series).,3030-10876,10876,0,,https://www.giantbomb.com/toxic-crusaders/3030-10876/," <div> Overview : Toxic Crusaders is a beat 'em up / shoot 'em up platformer made for the NES, Game Boy, and Sega Genesis; respectively developed by TOSE, Realtime Associates, and Infogrames. The Nintendo versions were published by Bandai and Sega handled the publishing for the Genesis. The game was based on the short-lived animated series that shares the same name, which itself was a kid-friendly take on The Toxic Avenger film made by Troma Entertainment.The game sees the player take control of the protagonist Toxie and play six different levels, fighting off enemies with Toxie's mop. The game begins in Tromaville, fighting the Radiation Rangers, before traveling through different locations such as on top of a train or inside an alien spaceship. The final stage of the game takes place in the palace of the antagonist, Czar Zoster. </div> ",
Toy Story Drop!,Tiertex Design Studios,Black Pearl Software,May 1996,gb,Match-3 Toy Story themed game.,3030-72811,72811,0,,https://www.giantbomb.com/toy-story-drop/3030-72811/,,
TrackMania² Valley,Konami,Konami,September 1992,gb,The third TrackMania 2 environment is heading to ManiaPlanet in early 2013.,3030-40348,40348,0,2013-07-04,https://www.giantbomb.com/trackmania2-valley/3030-40348/," <div> System Requirements : OS: Windows XP / Vista / 7 / 8Processor: 1.5GhzGraphics: 256 Mb, Pixel Shader 2.0 / Intel HD 2000 / Nvidia ION / AMD HD 6310DirectX®: 9.0cHard Drive: 15 GB HD spaceOther Requirements: Broadband Internet connection </div> ",ESRB: E
Track Meet,Interplay,Interplay NA/EUHiro JP,1991,gb,A track &amp; field game released in 1991 for the Game Boy.,3030-40811,40811,0,,https://www.giantbomb.com/track-meet/3030-40811/," <div> Overview : Track Meet is a track & field game developed and published by Interplay Entertainment (published by Hiro in Japan) for the Game Boy platform.The game is known as Track Meet: Mezase! Barcelona in Japan and Litti's Summer Sports (endorsed by Pierre Littbarski) in Germany. </div>  <div> Gameplay : Starting the first 100m race.When starting a game of Track Meet players have three choices. There is a practice event mode which players can use to practice a specific event. There is also a two player mode in which two players can play together using a link cable, two Game Boys and two copies of the game.The main mode in the game has players competing against five computer controlled opponents. There are seven different events to compete in, and the player with the most points at the end of the seven events is the winner.Each of the computer controlled opponents have certain events that they are good at and bad at. </div> ",
Tank Trax,HAL Laboratory,HAL Laboratory JPElectro Brain NA/EU,September 1991,gb,A strategy game that is very similar to Scorched Earth.,3030-20294,20294,0,,https://www.giantbomb.com/tank-trax/3030-20294/, <div> Overview : Tank Trax is a strategy game developed by Amoeba Software and published by Mastertronic for the ZX Spectrum platform. </div> ,
True Lies,Beam Software,LJN,February 1995,gb,A top-down shooter based on the 1994 action film of the same name starring Arnold Schwarzenegger where he is trying to get to the bottom of a terrorist organization.,3030-1815,1815,0,1994-08-10,https://www.giantbomb.com/true-lies/3030-1815/," <div> Overview : True Lies is a game based on the film of the same name, which starred Arnold Schwarzenegger. The game is displayed with a top-down perspective and roughly follows the plot of the film, as Schwarzenegger's character Harry Tasker tracks the activities of a terrorist cell while trying to keep his anti-terrorism agent status a secret from his wife and teenage daughter.True Lies features a penalty for civilian casualties, as well as the ability to roll under bullets. Harry can find additional weapons besides his handgun, but they all have limited ammo and vanish after their ammo is depleted. True Lies gets progressively more difficult as the player progresses through the game and features a password system. </div>  <div> Plot : The player takes the role of Harry Tasker, a secret agent working for a specialized anti-terrorism agency, who is pursuing group of terrorists led by Salim Abu Aziz. While chasing after the terrorists and uncovering their plot involving nuclear weapons, Aziz determines Harry's true identity takes his daughter hostage. Harry is then tasked with taking down this terrorist organization and Aziz, as well as saving his daughter. </div> ",ESRB: T
Tumblepop,Data East,Data East JPSunsoft NA,March 1993,gb,,,,,,,,
Turn and Burn: The F-14 Dogfight Simulator,Imagineering,Absolute Entertainment NA ActivisionEU,May 1992,gb,"A modern military flight sim released in 1992 for the Game Boy featuring the eponymous jet fighter as the player's aircraft. Known in Europe as ""Phantom Air Mission"".",3030-16753,16753,0,,https://www.giantbomb.com/turn-and-burn-the-f-14-dogfight-simulator/3030-16753/," <div> Overview : Turn and Burn: The F-14 Dogfight Simulator is a flight game developed by Imagineering Inc. and published by both Activision and Absolute Entertainment for the Game Boy platform.Phantom Air Mission was also released in Europe for the NES, it is known in North America as Flight of the Intruder. </div> ",
Turok: Battle of the Bionosaurs,Bit Managers,Acclaim NA/EUStarfish JP,"December 1, 1997",gb,Turok Battle of the Binosaurs is the first Turok game released for handhelds. Unlike its console counterpart this is a side scrolling action game.,3030-7257,7257,0,1997-12-01,https://www.giantbomb.com/turok-battle-of-the-bionosaurs/3030-7257/,,ESRB: K-A
Turrican,The Code Monkeys,Accolade,November 1991,gb,"An early shooter platformer originally developed for European home computers, best known for its heavy metal soundtrack by Chris Huelsbeck.",3030-15092,15092,0,,https://www.giantbomb.com/turrican/3030-15092/," <div> Overview : Turrican is a 1990 ""run and gun"" shooter/platformer akin to something like Contra. The player, as the bio-mechanical mutant warrior The Turrican, must make their way across a semi-non-linear world and defeat a boss before they can move onto the next world. The Turrican can change its weapon type, but any weapon besides the default will require finite ammo which must be found in the environment first.Turrican was originally developed for the Commodore 64 by a single programmer/designer, Manfred Trenz, but the Amiga and Genesis conversions are the best known versions. This is due in part to the music composed by Chris Huelsbeck for those versions. Turrican also saw releases for the Game Boy and TurboGrafx-16. Super Turrican (NES) is a composite game partly based on stages in the original Turrican and its sequel Turrican 2. Numerous homebrew attempts have been made to reboot Turrican for the modern era. </div>  <div> Story : The story (like found in the home computer manuals) is fast told: A long time ago the three-headed creature called Morgul was banished by the hero Devolon to an unknown dimension. The reason for this feat was that Morgul tormented the mankind with fears and nightmares. After Morgul's banishment fear and sleepless nights disappeared out of peoples lives. But since lately the people suffer again from a serious state of dread and fear and the nightmares come back. The apprehension is great that Morgul has returned to his kingdom. So armed with the latest weapons and technical equipment the player has to find and destroy Morgul in his kingdom.An alternate story is given in the Genesis/TurboGrafx-16 versions: Here is Morgul (Multiple-Organism-Unit-Link) a powerfull ecosystem generation network which the early colonists used to render the world of Alterra inhabitable. After a cataclysmic quake all system interface functions were severed and Morgul rebelled. He twisted all lifeforms of Alterra to his brutal, destructive purposes. To recapture Alterra genetic scientists created Turrican, a bio-engineered mutant warrior. Turricans task is to eliminate hostile organisms from Alterras five colonies and to destroy the three faces of Morgul. </div> ",
Ultima: Runes of Virtue II,Origin Systems,Pony Canyon JPFCI NA,July 1992,gb,This Game Boy and SNES spinoff of the Ultima series features action-adventure gameplay.,3030-12525,12525,0,1994-11-17,https://www.giantbomb.com/ultima-runes-of-virtue-ii/3030-12525/," <div> Overview : Following the Game Boy spinoff Ultima: Runes of Virtue, this sequel uses action-adventure gameplay similar to the Legend of Zelda games. The game also had an SNES port that featured better graphics but a reduced scope.The Black Knight has returned and he has kidnapped the eight mayors of Britannia's towns. Once again, the Companions of the Avatar must quest to stop him. Compared to the first game, Runes of Virtue II features a larger game world that actually resembles the Britannia seen in the main games. Specifically, many of its characters and locations seem to be based on their Ultima VI depictions. </div> ",
Ultima: Runes of Virtue II,Origin Systems,Pony Canyon JPFCI NA,March 1994,gb,This Game Boy and SNES spinoff of the Ultima series features action-adventure gameplay.,3030-12525,12525,0,1994-11-17,https://www.giantbomb.com/ultima-runes-of-virtue-ii/3030-12525/," <div> Overview : Following the Game Boy spinoff Ultima: Runes of Virtue, this sequel uses action-adventure gameplay similar to the Legend of Zelda games. The game also had an SNES port that featured better graphics but a reduced scope.The Black Knight has returned and he has kidnapped the eight mayors of Britannia's towns. Once again, the Companions of the Avatar must quest to stop him. Compared to the first game, Runes of Virtue II features a larger game world that actually resembles the Britannia seen in the main games. Specifically, many of its characters and locations seem to be based on their Ultima VI depictions. </div> ",
Golf Gang,Konami,Konami JP/EUUltra Games NA,March 1992,gb,"Golf Gang is speed mini golf for up to eight players.
",3030-86223,86223,0,2022-05-19,https://www.giantbomb.com/golf-gang/3030-86223/,,
Universal Soldier,The Code Monkeys,Accolade,December 1992,gb,"A total conversion of Turrican 2 for the Sega Genesis with the Universal Soldier film license, new stages, new sprites and a reworked level order.",3030-26480,26480,0,,https://www.giantbomb.com/universal-soldier/3030-26480/," <div> Overview : Universal Soldier is a run-and-gun action game released exclusively for the Sega Genesis, though there was a separate Game Boy game based on the same property. The property in question is the 1992 TriStar Pictures film Universal Soldier, starring Jean Claude Van Damme as Pvt. Luc Deveraux: a soldier that was killed in action in Vietnam but brought back without his memories by US military scientists for the top secret Universal Soldier program. Rather than developed from scratch, the game took an in-progress Genesis port of Factor 5's Turrican II: The Final Fight and graphically edited many of the sprites to resemble characters from the movie to convert the game into a last-minute licensed tie-in. They also removed the spaceship shoot 'em up sequences and replaced them with more on-foot missions more germane to the movie's setting, such as the Vietnamese jungles. All of the Turrican's moves were left intact, including rolling up into a spiked ball form. </div> ",
Urban Strike,Borta,Black Pearl Software,November 1996,gb,"A millionaire, former presidential candidate, and fanatic cult leader named H. R. Malone plans on toppling the government using a super weapon he is constructing.",3030-9336,9336,0,,https://www.giantbomb.com/urban-strike/3030-9336/," <div> Overview : Urban Strike is the follow up to Jungle Strike and continues the story told in Jungle Strike. Players command a variety of aircraft and ground units in order to stop H.R. Malone, a politician and wealthy leader who plans on ascending to total domination using a superweapon. </div>  <div> Gameplay : Urban Strike follows the Strike series' tried and true isometric game play and mission structure which is virtually untouched from the previous two games. Game mechanics also remain the same as the copilot system and rearming process all continue. New to the series are three on-foot missions where players take control of the pilot and must go inside a structure armed with a machine gun and rocket launcher in order to rescue an important person or destroy the complex. </div>  <div> Story : Following the defeat of Ibn Kilbaba and the supposed death of the Drug Lord, it would seem as the world is safe again from terrorism. But the rise of a new politician, H.R. Malone, gains the attention of the world and of STRIKE. Despite an undercover agent placed within Malone's organization, STRIKE does not know the plans Malone has for world domination. The informant is killed and again STRIKE calls in their top pilot to uncover the plot around this mysterious figure.Intelligence gathered from Hawaii reveals that Malone is actually Carlos Ortega, the Drug Lord, who had undergone plastic surgery to cover up his disfigured face and used his connections to reassert himself on the world stage. STRIKE again targets Malone's strategic investments that include oil rigs, auto factories and even Alcatraz Island. The search for Malone ends in Las Vegas as he makes his last stand inside the holding cell for superweapon, a giant laser. Malone is picked up with a bomb vest on and dropped directly into the superweapon, ridding the world of another despot and another threat averted thanks to the efforts of STRIKE. </div> ",
Vegas Stakes,HAL Laboratory,Nintendo,December 1995,gb,Sin City never sleeps in this SNES and Game Boy gambling sim from Dice Creative and HAL Lab.,3030-9160,9160,0,1993-09-10,https://www.giantbomb.com/vegas-stakes/3030-9160/," <div> Overview : Vegas Stakes is a gambling-themed game and the first hardcore Vegas themed video game for the SNES and Game Boy. It was released in late 1993 with a large amount of Vegas style gambling games, and even an RPG-style story with deep characters and stat building elements. It is the sequel to Vegas Dream for the NES.The player has $1000 starting money and can configure their own gender and name before hitting the casinos in the game, with the goal to earn several million dollars. The player can win money on Seven-card Stud Poker, Roulette, Blackjack, Slots and Craps. </div>  <div> Critical Reception : When the SNES version of the game was released Electronic Gaming Monthly gave the review scores of 7,8,8,8 and 7 out of ten. Mike Weigand, who gave the score of 7, wrote, ""Like Championship Pool, Nintendo gives casino life a great video game feel -- and your adventures don't just stop in the gambling den! The incidents in the casino add much humor and great variety!"". </div> ",ESRB: E
